Con,Ecg,ecg_filtered,ecg_pow,ecg_pow100
-1.00,1.62,-0.03,-0.00,-0.03
-1.00,1.71,0.04,0.00,0.08
-1.00,1.64,-0.04,-0.00,-0.08
-1.00,1.72,0.03,0.00,0.04
-1.00,1.65,-0.04,-0.00,-0.07
-1.00,1.73,0.03,0.00,0.04
-1.00,1.66,-0.04,-0.00,-0.06
-1.00,1.74,0.04,0.00,0.07
-1.00,1.65,-0.04,-0.00,-0.08
-1.00,1.74,0.05,0.00,0.10
-1.00,1.66,-0.04,-0.00,-0.07
-1.00,1.74,0.04,0.00,0.06
-1.00,1.64,-0.04,-0.00,-0.09
-1.00,1.70,0.04,0.00,0.07
-1.00,1.61,-0.04,-0.00,-0.04
-1.00,1.69,0.05,0.00,0.09
-1.00,1.53,-0.06,-0.00,-0.25
-1.00,1.54,0.04,0.00,0.08
-1.00,1.43,-0.01,-0.00,-0.00
-1.00,1.51,0.06,0.00,0.17
-1.00,1.41,-0.06,-0.00,-0.17
-1.00,1.47,0.02,0.00,0.01
-1.00,1.38,-0.05,-0.00,-0.11
-1.00,1.52,0.06,0.00,0.17
-1.00,1.49,-0.04,-0.00,-0.08
-1.00,1.60,0.03,0.00,0.02
-1.00,1.62,-0.03,-0.00,-0.02
-1.00,1.84,0.05,0.00,0.15
-1.00,2.22,0.04,0.00,0.07
-1.00,2.79,0.01,0.00,0.00
-1.00,2.68,-0.28,-0.02,-21.54
-1.00,2.14,-0.14,-0.00,-2.79
-1.00,1.60,0.19,0.01,6.65
-1.00,1.71,0.44,0.08,84.00
-1.00,1.71,0.06,0.00,0.19
-1.00,1.83,-0.11,-0.00,-1.48
-1.00,1.75,-0.24,-0.01,-14.17
-1.00,1.83,-0.08,-0.00,-0.50
-1.00,1.74,-0.07,-0.00,-0.33
-1.00,1.82,0.07,0.00,0.41
-1.00,1.73,0.02,0.00,0.00
-1.00,1.83,0.10,0.00,0.87
-1.00,1.75,-0.02,-0.00,-0.00
-1.00,1.85,0.05,0.00,0.10
-1.00,1.78,-0.05,-0.00,-0.13
-1.00,1.88,0.03,0.00,0.03
-1.00,1.80,-0.05,-0.00,-0.14
-1.00,1.92,0.04,0.00,0.08
-1.00,1.89,-0.04,-0.00,-0.07
-1.00,2.03,0.04,0.00,0.05
-1.00,1.99,-0.05,-0.00,-0.15
-1.00,2.09,0.03,0.00,0.03
-1.00,1.98,-0.04,-0.00,-0.09
-1.00,1.99,0.04,0.00,0.08
-1.00,1.89,-0.00,-0.00,-0.00
-1.00,1.95,0.06,0.00,0.20
-1.00,1.78,-0.06,-0.00,-0.25
-1.00,1.77,0.03,0.00,0.02
-1.00,1.62,-0.03,-0.00,-0.03
-1.00,1.63,0.04,0.00,0.07
-1.00,1.52,-0.03,-0.00,-0.04
-1.00,1.59,0.03,0.00,0.03
-1.00,1.49,-0.06,-0.00,-0.19
-1.00,1.54,0.03,0.00,0.02
-1.00,1.39,-0.05,-0.00,-0.16
-1.00,1.45,0.07,0.00,0.27
-1.00,1.38,-0.01,-0.00,-0.00
-1.00,1.50,0.05,0.00,0.09
-1.00,1.44,-0.06,-0.00,-0.18
-1.00,1.55,0.02,0.00,0.01
-1.00,1.50,-0.05,-0.00,-0.10
-1.00,1.61,0.05,0.00,0.09
-1.00,1.56,-0.04,-0.00,-0.05
-1.00,1.69,0.05,0.00,0.11
-1.00,1.68,-0.03,-0.00,-0.02
-1.00,1.82,0.03,0.00,0.04
-1.00,1.80,-0.05,-0.00,-0.10
-1.00,1.90,0.02,0.00,0.01
-1.00,1.82,-0.04,-0.00,-0.06
-1.00,1.90,0.06,0.00,0.18
-1.00,1.78,-0.04,-0.00,-0.05
-1.00,1.82,0.05,0.00,0.10
-1.00,1.70,-0.03,-0.00,-0.03
-1.00,1.71,0.03,0.00,0.03
-1.00,1.58,-0.04,-0.00,-0.05
-1.00,1.71,0.06,0.00,0.24
-1.00,1.69,-0.05,-0.00,-0.13
-1.00,1.79,-0.00,-0.00,-0.00
-1.00,1.71,-0.07,-0.00,-0.32
-1.00,1.79,0.05,0.00,0.11
-1.00,1.69,-0.02,-0.00,-0.01
-1.00,1.76,0.06,0.00,0.27
-1.00,1.66,-0.03,-0.00,-0.03
-1.00,1.74,0.05,0.00,0.12
-1.00,1.64,-0.04,-0.00,-0.09
-1.00,1.74,0.04,0.00,0.07
-1.00,1.68,-0.05,-0.00,-0.13
-1.00,1.74,0.02,0.00,0.00
-1.00,1.64,-0.04,-0.00,-0.08
-1.00,1.72,0.05,0.00,0.15
-1.00,1.64,-0.03,-0.00,-0.03
-1.00,1.69,0.03,0.00,0.04
-1.00,1.60,-0.03,-0.00,-0.04
-1.00,1.69,0.05,0.00,0.09
-1.00,1.61,-0.04,-0.00,-0.08
-1.00,1.71,0.04,0.00,0.07
-1.00,1.62,-0.05,-0.00,-0.16
-1.00,1.71,0.04,0.00,0.06
-1.00,1.61,-0.04,-0.00,-0.07
-1.00,1.72,0.06,0.00,0.18
-1.00,1.71,-0.03,-0.00,-0.02
-1.00,1.79,0.01,0.00,0.00
-1.00,1.71,-0.05,-0.00,-0.16
-1.00,1.77,0.04,0.00,0.09
-1.00,1.57,-0.05,-0.00,-0.15
-1.00,1.63,0.09,0.00,0.68
-1.00,1.58,-0.00,-0.00,-0.00
-1.00,1.70,0.03,0.00,0.02
-1.00,1.63,-0.08,-0.00,-0.52
-1.00,1.74,0.02,0.00,0.01
-1.00,1.67,-0.05,-0.00,-0.11
-1.00,1.78,0.05,0.00,0.13
-1.00,2.20,0.10,0.00,1.04
-1.00,2.65,-0.03,-0.00,-0.03
-1.00,2.47,-0.28,-0.02,-21.33
-1.00,1.90,-0.13,-0.00,-1.98
-1.00,1.44,0.22,0.01,10.22
-1.00,1.54,0.40,0.06,62.43
-1.00,1.52,0.02,0.00,0.01
-1.00,1.63,-0.12,-0.00,-1.53
-1.00,1.56,-0.22,-0.01,-10.29
-1.00,1.67,-0.06,-0.00,-0.25
-1.00,1.60,-0.06,-0.00,-0.26
-1.00,1.71,0.07,0.00,0.38
-1.00,1.57,-0.01,-0.00,-0.00
-1.00,1.64,0.10,0.00,1.06
-1.00,1.56,0.00,0.00,0.00
-1.00,1.68,0.06,0.00,0.27
-1.00,1.62,-0.06,-0.00,-0.22
-1.00,1.74,0.02,0.00,0.00
-1.00,1.68,-0.06,-0.00,-0.25
-1.00,1.81,0.04,0.00,0.07
-1.00,1.78,-0.04,-0.00,-0.09
-1.00,1.93,0.05,0.00,0.10
-1.00,1.92,-0.04,-0.00,-0.07
-1.00,2.01,0.03,0.00,0.02
-1.00,1.98,-0.03,-0.00,-0.02
-1.00,2.12,0.06,0.00,0.17
-1.00,1.99,-0.06,-0.00,-0.27
-1.00,2.01,0.04,0.00,0.06
-1.00,1.81,-0.03,-0.00,-0.04
-1.00,1.77,0.07,0.00,0.29
-1.00,1.61,-0.01,-0.00,-0.00
-1.00,1.59,0.03,0.00,0.03
-1.00,1.48,-0.04,-0.00,-0.05
-1.00,1.55,0.03,0.00,0.02
-1.00,1.47,-0.07,-0.00,-0.39
-1.00,1.56,0.02,0.00,0.01
-1.00,1.51,-0.05,-0.00,-0.10
-1.00,1.61,0.04,0.00,0.09
-1.00,1.55,-0.03,-0.00,-0.04
-1.00,1.65,0.05,0.00,0.16
-1.00,1.60,-0.03,-0.00,-0.02
-1.00,1.68,0.04,0.00,0.04
-1.00,1.59,-0.04,-0.00,-0.05
-1.00,1.70,0.05,0.00,0.15
-1.00,1.61,-0.05,-0.00,-0.11
-1.00,1.71,0.04,0.00,0.06
-1.00,1.56,-0.07,-0.00,-0.34
-1.00,1.57,0.04,0.00,0.08
-1.00,1.45,-0.01,-0.00,-0.00
-1.00,1.54,0.06,0.00,0.27
-1.00,1.45,-0.05,-0.00,-0.15
-1.00,1.54,0.02,0.00,0.02
-1.00,1.47,-0.06,-0.00,-0.20
-1.00,1.52,0.03,0.00,0.02
-1.00,1.43,-0.03,-0.00,-0.04
-1.00,1.62,0.09,0.00,0.72
-1.00,1.62,-0.05,-0.00,-0.12
-1.00,1.88,0.04,0.00,0.08
-1.00,1.89,-0.09,-0.00,-0.72
-1.00,2.02,0.01,0.00,0.00
-1.00,1.97,-0.03,-0.00,-0.04
-1.00,2.10,0.08,0.00,0.54
-1.00,2.06,-0.01,-0.00,-0.00
-1.00,2.19,0.05,0.00,0.16
-1.00,1.97,-0.10,-0.00,-0.92
-1.00,1.37,-0.11,-0.00,-1.44
-1.00,0.40,-0.02,-0.00,-0.00
-1.00,0.09,0.37,0.05,49.41
-1.00,0.02,0.18,0.01,5.60
-1.00,0.00,-0.11,-0.00,-1.49
-1.00,0.00,-0.23,-0.01,-11.76
-1.00,0.00,-0.18,-0.01,-5.91
-1.00,0.00,-0.07,-0.00,-0.31
-1.00,0.00,0.03,0.00,0.03
-1.00,0.00,0.08,0.00,0.49
-1.00,0.00,0.08,0.00,0.54
-1.00,0.00,0.06,0.00,0.19
-1.00,0.00,0.03,0.00,0.02
-1.00,0.00,-0.00,-0.00,-0.00
-1.00,0.00,-0.01,-0.00,-0.00
-1.00,0.00,-0.02,-0.00,-0.01
-1.00,0.00,-0.02,-0.00,-0.00
-1.00,0.00,-0.01,-0.00,-0.00
-1.00,0.00,-0.00,-0.00,-0.00
-1.00,0.02,0.01,0.00,0.00
-1.00,0.00,-0.01,-0.00,-0.00
-1.00,0.00,0.01,0.00,0.00
-1.00,0.09,0.03,0.00,0.04
-1.00,0.08,-0.03,-0.00,-0.03
-1.00,0.37,0.07,0.00,0.38
-1.00,0.49,-0.07,-0.00,-0.33
-1.00,0.77,-0.00,-0.00,-0.00
-1.00,0.86,-0.07,-0.00,-0.37
-1.00,1.27,0.10,0.00,0.90
-1.00,1.97,0.10,0.00,0.95
-1.00,2.48,-0.11,-0.00,-1.48
-1.00,3.59,0.08,0.00,0.48
-1.00,4.73,-0.06,-0.00,-0.20
-1.00,4.94,-0.38,-0.05,-53.75
-1.00,4.99,-0.03,-0.00,-0.02
-1.00,4.99,0.25,0.02,15.42
-1.00,5.00,0.28,0.02,22.06
-1.00,5.00,0.14,0.00,2.76
-1.00,5.00,-0.01,-0.00,-0.00
-1.00,4.98,-0.11,-0.00,-1.25
-1.00,4.89,-0.14,-0.00,-2.55
-1.00,4.35,-0.21,-0.01,-9.72
-1.00,4.14,0.11,0.00,1.21
-1.00,3.87,0.07,0.00,0.36
-1.00,3.96,0.13,0.00,2.13
-1.00,3.80,-0.12,-0.00,-1.61
-1.00,3.82,-0.03,-0.00,-0.04
-1.00,3.60,-0.10,-0.00,-1.09
-1.00,3.63,0.07,0.00,0.40
-1.00,3.38,-0.03,-0.00,-0.04
-1.00,3.31,0.08,0.00,0.52
-1.00,3.11,0.01,0.00,0.00
-1.00,3.15,0.08,0.00,0.57
-1.00,2.92,-0.09,-0.00,-0.66
-1.00,2.88,0.02,0.00,0.01
-1.00,2.61,-0.07,-0.00,-0.29
-1.00,2.49,0.04,0.00,0.07
-1.00,2.17,-0.03,-0.00,-0.02
-1.00,2.09,0.08,0.00,0.59
-1.00,1.84,-0.04,-0.00,-0.05
-1.00,1.79,0.04,0.00,0.05
-1.00,1.53,-0.08,-0.00,-0.52
-1.00,1.49,0.04,0.00,0.06
-1.00,1.32,-0.03,-0.00,-0.04
-1.00,1.47,0.08,0.00,0.48
-1.00,1.41,-0.07,-0.00,-0.39
-1.00,1.56,0.01,0.00,0.00
-1.00,1.51,-0.07,-0.00,-0.29
-1.00,1.70,0.06,0.00,0.27
-1.00,1.66,-0.04,-0.00,-0.07
-1.00,1.81,0.06,0.00,0.21
-1.00,1.72,-0.05,-0.00,-0.12
-1.00,1.82,0.07,0.00,0.31
-1.00,1.68,-0.04,-0.00,-0.08
-1.00,1.77,0.07,0.00,0.33
-1.00,1.61,-0.06,-0.00,-0.24
-1.00,1.70,0.06,0.00,0.18
-1.00,1.56,-0.06,-0.00,-0.24
-1.00,1.66,0.05,0.00,0.11
-1.00,1.55,-0.06,-0.00,-0.24
-1.00,1.65,0.04,0.00,0.07
-1.00,1.50,-0.07,-0.00,-0.31
-1.00,1.63,0.08,0.00,0.46
-1.00,1.55,-0.05,-0.00,-0.10
-1.00,1.71,0.06,0.00,0.18
-1.00,1.64,-0.06,-0.00,-0.27
-1.00,1.77,0.04,0.00,0.08
-1.00,1.66,-0.06,-0.00,-0.25
-1.00,1.68,0.04,0.00,0.06
-1.00,1.17,-0.12,-0.00,-1.54
-1.00,0.48,-0.00,-0.00,-0.00
-1.00,0.12,0.23,0.01,12.69
-1.00,0.03,0.18,0.01,5.44
-1.00,0.00,-0.05,-0.00,-0.13
-1.00,0.00,-0.17,-0.00,-4.55
-1.00,0.00,-0.16,-0.00,-3.73
-1.00,0.00,-0.07,-0.00,-0.40
-1.00,0.00,0.01,0.00,0.00
-1.00,0.00,0.06,0.00,0.17
-1.00,0.00,0.07,0.00,0.28
-1.00,0.00,0.05,0.00,0.13
-1.00,0.00,0.03,0.00,0.02
-1.00,0.00,0.01,0.00,0.00
-1.00,0.00,-0.01,-0.00,-0.00
-1.00,0.00,-0.01,-0.00,-0.00
-1.00,0.00,-0.01,-0.00,-0.00
-1.00,0.00,-0.01,-0.00,-0.00
-1.00,0.00,-0.00,-0.00,-0.00
-1.00,0.00,-0.00,-0.00,-0.00
-1.00,0.00,0.00,0.00,0.00
-1.00,0.00,0.00,0.00,0.00
-1.00,0.00,0.00,0.00,0.00
-1.00,0.08,0.02,0.00,0.02
-1.00,0.04,-0.04,-0.00,-0.08
-1.00,0.27,0.07,0.00,0.32
-1.00,0.48,-0.01,-0.00,-0.00
-1.00,1.31,0.13,0.00,2.13
-1.00,1.49,-0.28,-0.02,-21.13
-1.00,1.31,-0.20,-0.01,-8.23
-1.00,0.75,-0.01,-0.00,-0.00
-1.00,0.92,0.46,0.09,94.39
-1.00,1.06,0.17,0.01,5.02
-1.00,1.33,-0.03,-0.00,-0.02
-1.00,1.31,-0.25,-0.02,-15.14
-1.00,1.52,-0.07,-0.00,-0.34
-1.00,1.43,-0.11,-0.00,-1.43
-1.00,1.59,0.09,0.00,0.62
-1.00,1.48,-0.01,-0.00,-0.00
-1.00,1.62,0.12,0.00,1.53
-1.00,1.49,-0.04,-0.00,-0.07
-1.00,1.64,0.08,0.00,0.55
-1.00,1.53,-0.07,-0.00,-0.34
-1.00,1.70,0.05,0.00,0.14
-1.00,1.61,-0.08,-0.00,-0.56
-1.00,1.81,0.06,0.00,0.19
-1.00,1.75,-0.07,-0.00,-0.42
-1.00,1.95,0.06,0.00,0.19
-1.00,1.90,-0.06,-0.00,-0.24
-1.00,2.11,0.07,0.00,0.32
-1.00,2.03,-0.06,-0.00,-0.27
-1.00,2.22,0.07,0.00,0.38
-1.00,2.11,-0.07,-0.00,-0.29
-1.00,2.20,0.06,0.00,0.22
-1.00,2.03,-0.05,-0.00,-0.15
-1.00,2.17,0.10,0.00,0.88
-1.00,2.01,-0.07,-0.00,-0.37
-1.00,2.14,0.06,0.00,0.23
-1.00,2.02,-0.07,-0.00,-0.39
-1.00,2.24,0.07,0.00,0.40
-1.00,2.24,-0.07,-0.00,-0.42
-1.00,2.50,0.03,0.00,0.04
-1.00,2.48,-0.09,-0.00,-0.72
-1.00,2.67,0.05,0.00,0.14
-1.00,2.54,-0.06,-0.00,-0.27
-1.00,2.62,0.09,0.00,0.78
-1.00,2.40,-0.03,-0.00,-0.03
-1.00,2.49,0.11,0.00,1.36
-1.00,2.33,-0.05,-0.00,-0.12
-1.00,2.49,0.07,0.00,0.28
-1.00,2.42,-0.10,-0.00,-0.88
-1.00,2.62,0.02,0.00,0.01
-1.00,2.47,-0.12,-0.00,-1.84
-1.00,2.50,0.04,0.00,0.08
-1.00,2.28,-0.02,-0.00,-0.02
-1.00,2.36,0.13,0.00,2.04
-1.00,2.16,-0.04,-0.00,-0.06
-1.00,2.25,0.07,0.00,0.37
-1.00,2.09,-0.08,-0.00,-0.55
-1.00,2.21,0.04,0.00,0.09
-1.00,2.09,-0.08,-0.00,-0.52
-1.00,2.21,0.05,0.00,0.10
-1.00,2.06,-0.07,-0.00,-0.41
-1.00,2.16,0.07,0.00,0.36
-1.00,1.97,-0.06,-0.00,-0.21
-1.00,2.13,0.11,0.00,1.26
-1.00,2.00,-0.07,-0.00,-0.28
-1.00,2.17,0.06,0.00,0.22
-1.00,2.07,-0.08,-0.00,-0.53
-1.00,2.23,0.05,0.00,0.14
-1.00,2.10,-0.08,-0.00,-0.52
-1.00,2.25,0.08,0.00,0.50
-1.00,2.15,-0.05,-0.00,-0.12
-1.00,2.31,0.07,0.00,0.32
-1.00,2.18,-0.07,-0.00,-0.40
-1.00,2.27,0.05,0.00,0.13
-1.00,2.09,-0.06,-0.00,-0.20
-1.00,2.20,0.09,0.00,0.68
-1.00,2.06,-0.06,-0.00,-0.19
-1.00,2.18,0.06,0.00,0.24
-1.00,2.04,-0.08,-0.00,-0.54
-1.00,2.20,0.07,0.00,0.31
-1.00,2.10,-0.07,-0.00,-0.38
-1.00,2.21,0.04,0.00,0.07
-1.00,2.03,-0.07,-0.00,-0.42
-1.00,2.07,0.07,0.00,0.36
-1.00,1.88,-0.03,-0.00,-0.02
-1.00,1.98,0.09,0.00,0.85
-1.00,1.84,-0.06,-0.00,-0.22
-1.00,2.00,0.06,0.00,0.19
-1.00,1.91,-0.09,-0.00,-0.75
-1.00,2.07,0.04,0.00,0.05
-1.00,1.90,-0.10,-0.00,-0.93
-1.00,2.16,0.13,0.00,1.96
-1.00,2.57,0.06,0.00,0.25
-1.00,2.87,-0.09,-0.00,-0.80
-1.00,2.47,-0.28,-0.02,-21.76
-1.00,1.91,-0.00,-0.00,-0.00
-1.00,1.59,0.29,0.02,23.54
-1.00,1.82,0.34,0.04,40.37
-1.00,1.82,-0.09,-0.00,-0.82
-1.00,2.07,-0.12,-0.00,-1.80
-1.00,2.11,-0.22,-0.01,-11.27
-1.00,2.36,-0.04,-0.00,-0.05
-1.00,2.30,-0.09,-0.00,-0.69
-1.00,2.47,0.11,0.00,1.40
-1.00,2.36,0.01,0.00,0.00
-1.00,2.53,0.14,0.00,3.04
-1.00,2.42,-0.03,-0.00,-0.03
-1.00,2.55,0.06,0.00,0.18
-1.00,2.39,-0.09,-0.00,-0.75
-1.00,2.50,0.06,0.00,0.19
-1.00,2.33,-0.08,-0.00,-0.55
-1.00,2.45,0.07,0.00,0.29
-1.00,2.26,-0.09,-0.00,-0.63
-1.00,2.37,0.07,0.00,0.37
-1.00,2.21,-0.06,-0.00,-0.26
-1.00,2.34,0.07,0.00,0.38
-1.00,2.20,-0.07,-0.00,-0.33
-1.00,2.28,0.05,0.00,0.11
-1.00,2.08,-0.07,-0.00,-0.38
-1.00,2.09,0.07,0.00,0.29
-1.00,1.84,-0.04,-0.00,-0.08
-1.00,1.86,0.09,0.00,0.74
-1.00,1.66,-0.05,-0.00,-0.11
-1.00,1.71,0.05,0.00,0.12
-1.00,1.52,-0.08,-0.00,-0.49
-1.00,1.65,0.07,0.00,0.31
-1.00,1.56,-0.07,-0.00,-0.38
-1.00,1.75,0.05,0.00,0.10
-1.00,1.68,-0.08,-0.00,-0.57
-1.00,1.87,0.06,0.00,0.23
-1.00,1.76,-0.07,-0.00,-0.29
-1.00,1.92,0.08,0.00,0.55
-1.00,1.78,-0.05,-0.00,-0.16
-1.00,1.91,0.09,0.00,0.64
-1.00,1.74,-0.06,-0.00,-0.21
-1.00,1.85,0.07,0.00,0.34
-1.00,1.70,-0.06,-0.00,-0.25
-1.00,1.85,0.07,0.00,0.29
-1.00,1.70,-0.09,-0.00,-0.75
-1.00,1.83,0.06,0.00,0.20
-1.00,1.69,-0.07,-0.00,-0.41
-1.00,1.80,0.06,0.00,0.25
-1.00,1.67,-0.06,-0.00,-0.17
-1.00,1.84,0.09,0.00,0.63
-1.00,1.75,-0.06,-0.00,-0.27
-1.00,1.94,0.05,0.00,0.15
-1.00,1.87,-0.07,-0.00,-0.40
-1.00,2.05,0.06,0.00,0.18
-1.00,1.93,-0.08,-0.00,-0.43
-1.00,2.09,0.08,0.00,0.49
-1.00,1.97,-0.05,-0.00,-0.15
-1.00,2.13,0.08,0.00,0.49
-1.00,1.98,-0.07,-0.00,-0.39
-1.00,2.10,0.06,0.00,0.25
-1.00,1.89,-0.08,-0.00,-0.58
-1.00,1.97,0.08,0.00,0.58
-1.00,1.85,-0.04,-0.00,-0.04
-1.00,1.99,0.06,0.00,0.21
-1.00,1.84,-0.10,-0.00,-0.93
-1.00,1.96,0.05,0.00,0.12
-1.00,1.81,-0.06,-0.00,-0.26
-1.00,1.94,0.07,0.00,0.39
-1.00,1.85,-0.04,-0.00,-0.08
-1.00,2.05,0.07,0.00,0.33
-1.00,1.94,-0.09,-0.00,-0.79
-1.00,2.06,0.05,0.00,0.11
-1.00,1.89,-0.07,-0.00,-0.28
-1.00,1.98,0.09,0.00,0.67
-1.00,1.83,-0.04,-0.00,-0.06
-1.00,1.96,0.08,0.00,0.48
-1.00,1.80,-0.08,-0.00,-0.49
-1.00,1.94,0.06,0.00,0.18
-1.00,1.81,-0.07,-0.00,-0.42
-1.00,1.89,0.04,0.00,0.06
-1.00,1.83,-0.03,-0.00,-0.03
-1.00,2.52,0.21,0.01,8.95
-1.00,2.64,-0.21,-0.01,-9.84
-1.00,2.48,-0.20,-0.01,-7.54
-1.00,1.67,-0.14,-0.00,-2.93
-1.00,1.63,0.43,0.08,79.68
-1.00,1.62,0.22,0.01,10.95
-1.00,1.79,0.02,0.00,0.01
-1.00,1.68,-0.25,-0.01,-14.78
-1.00,1.79,-0.09,-0.00,-0.71
-1.00,1.59,-0.14,-0.00,-2.73
-1.00,1.61,0.07,0.00,0.40
-1.00,1.40,0.00,0.00,0.00
-1.00,1.39,0.11,0.00,1.49
-1.00,1.14,-0.02,-0.00,-0.01
-1.00,1.12,0.07,0.00,0.40
-1.00,0.89,-0.05,-0.00,-0.16
-1.00,0.97,0.06,0.00,0.26
-1.00,0.87,-0.07,-0.00,-0.36
-1.00,1.10,0.04,0.00,0.07
-1.00,1.08,-0.11,-0.00,-1.20
-1.00,1.33,0.04,0.00,0.04
-1.00,1.32,-0.08,-0.00,-0.43
-1.00,1.56,0.07,0.00,0.39
-1.00,1.51,-0.05,-0.00,-0.11
-1.00,1.65,0.08,0.00,0.46
-1.00,1.50,-0.04,-0.00,-0.07
-1.00,1.61,0.09,0.00,0.83
-1.00,1.41,-0.06,-0.00,-0.22
-1.00,1.43,0.05,0.00,0.16
-1.00,1.18,-0.07,-0.00,-0.31
-1.00,1.20,0.07,0.00,0.31
-1.00,1.06,-0.04,-0.00,-0.08
-1.00,1.27,0.07,0.00,0.37
-1.00,1.29,-0.09,-0.00,-0.70
-1.00,1.53,-0.00,-0.00,-0.00
-1.00,1.51,-0.11,-0.00,-1.18
-1.00,1.68,0.05,0.00,0.12
-1.00,1.50,-0.05,-0.00,-0.15
-1.00,1.55,0.12,0.00,1.71
-1.00,1.43,0.02,0.00,0.01
-1.00,1.56,0.09,0.00,0.78
-1.00,1.46,-0.07,-0.00,-0.42
-1.00,1.74,0.06,0.00,0.22
-1.00,1.76,-0.11,-0.00,-1.41
-1.00,1.97,-0.01,-0.00,-0.00
-1.00,1.92,-0.09,-0.00,-0.65
-1.00,2.12,0.08,0.00,0.61
-1.00,2.07,-0.03,-0.00,-0.02
-1.00,2.24,0.09,0.00,0.62
-1.00,2.14,-0.06,-0.00,-0.17
-1.00,2.28,0.07,0.00,0.37
-1.00,2.13,-0.07,-0.00,-0.32
-1.00,2.27,0.07,0.00,0.41
-1.00,2.15,-0.07,-0.00,-0.34
-1.00,2.29,0.06,0.00,0.20
-1.00,2.15,-0.08,-0.00,-0.60
-1.00,2.29,0.06,0.00,0.27
-1.00,2.13,-0.08,-0.00,-0.48
-1.00,2.23,0.07,0.00,0.39
-1.00,2.16,-0.03,-0.00,-0.03
-1.00,2.40,0.08,0.00,0.53
